,Name,Character Names
52,A Place in the  Sun,"{'Policeman', 'Alice Tripp', 'Prisoner', 'Company Executive', 'Juror', 'Mrs. Ann Vickers', 'Waiter', 'Boatkeeper', 'Frances Brand', 'George Eastman', 'Truck Driver', 'Man', 'Courtroom Spectator', 'Judge R.S. Oldendorff', 'Bit Part', 'Bus Driver', 'Party Guest', 'Tom Tipton', 'Joe Parker', 'Guard', 'Miss Newton', 'William - Butler at Eastman Home', 'Louise Eastman', ""Margaret - Eastman's Secretary"", 'Eagle Scout', 'Deputy', 'Court Clerk', 'Factory Floorman', 'Jury Foreman', ""Vickers' Butler"", 'Radio Broadcaster', 'Drunk', 'Coroner', 'Bellows', 'Anthony Vickers', 'Marsha', 'Jailer', 'Det. Kelly', ""Servant at Eastman's Party"", 'Receptionist', 'Earl Eastman', 'Executive', 'Warden', 'Dr. Wyeland', 'Charles Eastman', 'Friend of Taylor', ""Lulu - Vickers' Maid"", 'Mrs. Roberts - Landlady', ""Art Jansen - George's Attorney"", 'Man Listing to Singing', 'Rev. Morrison', ""Eastmans' Maid"", 'Angela Vickers', 'Dist. Atty. R. Frank Marlowe', 'Courtroom Extra', 'Mr. Whiting', 'Miss Harper', 'Motorcycle Officer', 'Courtroom Reporter', 'Hannah Eastman', 'Factory Guard', 'Bailiff', 'Factory Worker - Prosecution Witness', 'Girl'}"
53,Midnight Cowboy,"{'Freaked-Out Lady - New York', 'Escort Service Man - New York', 'Girl at Party', 'Annie - Texas', 'St. Bernard Owner', 'Little Joe - Texas', 'Laundromat Lady - New York', 'TV Bishop - New York', 'The Party', 'Woodsy Niles - Texas', 'Gina', 'Vegetable Grocer - New York', ""Mr. O'Daniel"", 'Party Guest', 'Hat Shop Owner - New York', 'The Young Student - New York', 'Mother on the Bus - Texas', 'Rich Lady - New York', 'Man at Party', 'Old Cow-Hand - Texas', 'Pimp', 'Man at Lunch Counter', 'Sailor in Bar', 'Bus Driver - Florida', 'Hippie #3', 'Woman in TV Montage', 'The Old Lady - Texas', 'Gretel McAlbertson - The Party', 'Shirley', 'Man in TV Montage', 'Old Lady in Subway', 'Rapist in Flashback', 'Hotel Clerk - New York', 'Joe Buck', 'Jackie - New York', 'Towny', 'Ralph - Texas', 'Joe Pyne on TV Show', 'Sally Buck - Texas', 'The Waitress - Florida', 'Hippie in Coffee Shop', 'Homeless Man', 'Hansel McAlbertson - The Party', 'Bartender - New York', 'Bus Passenger', 'Cafeteria Manager - Texas', 'Dog Outside Warhol Party', 'Cass', 'Ratso', 'The Frantic Lady - New York'}"
54,Mr. Smith Goes to Washington,"{'Newspaperman with Pipe', 'Senator Holland', ""Paine's Secretary"", 'Hopper Boy', 'Governor Hopper', 'Man in Press Section of Senate Gallery', 'Rabbi', 'Third Radio Speaker', 'Mrs. McGann', 'Diz Moore', 'Senate Reporter', 'Senator', 'Newspaper employee', 'Minor Role', 'Angry committee member', 'Hoodlum', 'Senate Chaplain', 'First Radio Announcer', 'Reporter', 'Susan Paine', 'Nun with Cheering Orphan Boys', 'Butler', 'Handwriting Expert', 'Family Man', 'Committeewoman', 'Flood - Newsman', 'Hat Salesman', 'Senator Joseph Paine', 'Senator Dwight', 'Sweeney Farrell - Newsman', 'Schultz - Newsman', ""Hopper's Secretary"", 'Boy Ranger', 'Man in Senate Building', 'Saunders', 'Senator Hammett', 'Woman at Station', 'Jane Hopper', 'Jim Taylor', 'Nosey', 'Senator Ashman', 'House Boy', 'Francis Scott Key', 'Chief Clerk', 'Mr. Edwards - Howling Citizen', 'Editor', 'Announcer', 'Senator Manchester', 'Kenneth Allen', 'Senator Monroe', 'Senator Alfred', 'Senator Dearhorn', 'Senator Carlisle', 'Photographer', 'Pageboy Richard Jones', 'H.V. Kaltenborn', 'Porter', 'Lang', 'Senator Fernwick', 'Arthur Kim', 'Cab Driver', 'Mrs. Taylor', 'Senator Pickett', 'Hendricks', 'Hopper Girl', 'Senator Fuller', 'Senator Grainger', 'Chorus Member', 'Foreign Diplomat', 'Second Radio Announcer', 'Assistant Bartender', 'Speaker', 'Summers - newsman', 'Townsend', 'Senator in final scene', 'Senator Albert', 'Woman', 'Senate Minority Leader', 'Senator Lancaster', 'Senator Burdette', 'Boy Cheering for Smith in Meeting', 'Pompous Man', 'Mrs. Edwards', 'Mrs. Hopper', 'Otis Hopper', 'Soapbox Speaker', 'Senator Carlton', 'Senator Hodges', ""Taylor's Stooge"", 'Ma Smith', 'Chick McGann', 'Senate Majority Leader', 'Head Sister', 'Secretary', ""Reporter Asking 'What Do You Think of the Girls in This Town?'"", 'Shoe Salesman', 'Committeeman', 'Waiter', ""Inventor at Smith's Office Door"", 'Ragner - Newsman', ""Hopper's Butler"", 'Senator MacPherson', 'Bill Griffith', 'Jefferson Smith', 'Senator Byron', 'Civil War Veteran at Lincoln Memorial', ""Paine's Friend"", 'Senate Clerk', 'Carl Cook', 'Doorman', 'Black Committeeman', 'Senate Guard', 'Diggs - Newsman', 'President of the Senate', 'Bodyguard', 'Undetermined Role', 'Fisk', 'Barber', 'Senator Gower', 'Senator Atwater'}"
55,Rain Man,"{'Guard in Video Room', 'Boy at Pancake Counter', 'Sandra', 'Amarillo Hotel Owner', 'Man in Waiting Room', 'Doctor', 'Floorman', 'Pit Boss', 'Police Officer at Accident', 'Charlie Babbitt', 'Restaurant Patron', 'Train Conductor', 'Man pushing wheelchair', 'Dr. Bruner', 'Autistic Pianist', 'Car Driver', 'Farm House Kid', 'Airport Security Guard', 'Wallbrook Patient Entering TV Room', 'Iris', 'Irate Driver', 'BlackJack Dealer', 'Blackjack Dealer', 'Mr. Kelso', 'Sally Dibbs', 'Small Town Doctor', 'Man on Wallbrook Road', 'Raymond Babbitt', 'Lady at Blackjack Table', 'John Mooney', ""Dr. Bruner's Secretary"", 'Shift Boss', 'Susanna', 'Vern', 'Lenny', 'Las Vegas Crooner', 'Mother at Farm House', 'Woman at Pancake Counter', 'Minister at Funeral', 'Nurse', 'Bank Officer'}"
56,Annie Hall,"{'Alvy Singer', 'Blonde Woman in Bookstore', 'Man #1 Outside Theatre', 'Pam', 'Navy Officer', 'Actor Boy Friend', 'Doctor', 'Maharishi', 'Peter', ""Tony Lacey's Girlfriend"", 'Nightclub Customer', 'Street Stranger', 'Comedian at Rally', 'Actor in Rehearsal', 'Mom Hall', 'Ticket Seller at Theatre', 'Actress in Rehearsal', 'Comic', 'Man at Health Food Restaurant', ""Alvy's Aunt"", 'Marshall McLuhan', 'Truman Capote', 'Restaurant Patron', 'Duane Hall', ""Comic's Agent"", ""Alvy's Classmate"", 'Allison', 'Aunt Tessie', ""Alvy's Psychiatrist"", 'Waiter #2 at Nightclub', 'Tony Lacey', 'Rob', 'Rehearsal Stage Manager', 'Waitress at Health Food Restaurant', 'Usher', 'School Teacher', 'Waiter #1 at Nightclub', ""Alvy's Date Outside Theatre"", 'Annie Hall', 'Joey Nichols', 'Lacey Party Guest', ""Annie's Date Outside Theatre"", 'Coke Fiend', 'College Audience', 'Miss Reed', ""Annie's Psychiatrist"", ""Alvy's Uncle"", 'Hotel Doctor', 'Truman Capote Look-Alike', 'Janet', ""Alvy's Dad"", 'Man #2 Outside Theatre', 'L.A. Policeman', ""Tony's Date at Nightclub"", ""Actor in Rob's T.V. Show"", 'Rehearsal Director', ""Alvy's Mom"", 'Grammy Hall', 'Robin', 'Alvy - Age 9', 'Dad Hall', 'Dick Cavett', 'Man in Theatre Line', ""Actress in Rob's T.V. Show"", 'Dorrie'}"
57,Fargo,{'Self - Host'}
58,Giant,"{'Judy Benedict II - As an Infant', 'Bartender', 'Mexican Priest', 'Dr. Guerra', 'Adarene Clinch', 'Minor Role', 'Jett Rink - Giving Banquet Speech', 'Judy Benedict - Age 4', 'Busboy', 'Security Guard', 'Old Man', 'Square Dancer', 'Angel Obregón II', 'Mrs. Nancy Lynnton', 'Clay Hodgins Sr.', 'Bale Clinch', 'Dr. Walker', 'Lacey Lynnton', 'Leslie Benedict', 'Mrs. Obregón', 'Angel Obregón - Age 5', 'Essie Lou Hodgins', 'Gabe Target', 'Judge Oliver Whiteside', 'Clay Hodgins, Jr.', 'Vern Decker', ""Governor North's Wife"", 'Vashti Snythe', 'General', ""Governor's Ball Guest on Dais"", 'Bellboy', 'Guest', 'Juana Guerra Benedict', ""Mort 'Pinky' Snythe"", 'Jordan Benedict III - Age 4', ""'Bob' Dace"", 'Jordan Benedict III - As an Infant', 'Young Woman', 'Angel Obregón Sr.', 'Luz Benedict II', 'Jefferson Swazey', 'Truck Driver in Diner', 'Lona Lane', 'Dr. Borneholm', 'Jett Rink', 'Harper', 'Eusebio', 'War Winds the Horse', 'Judy Benedict - As an Infant', ""Guard at Governor's Ball"", 'Old Polo', 'Uncle Bawley', 'Older Beauty Operator', 'Lupe', 'Assistant Manager', 'Toastmaster', ""Governor's Ball Guest"", 'Sarge', 'Sir David Karfrey', ""General's Wife"", 'Young Beauty Operator', 'Minister', 'Dr. Horace Lynnton', 'Judy Benedict', 'Waiter', 'Mary Lou Decker', 'Driver', 'Watts', 'Party Guest', ""Waitress at Sarge's"", ""Vashti's Daughter"", 'Guard', 'Jordan Benedict III', 'Governor North', 'Jordan Benedict IV - As an Infant', ""Jordan 'Bick' Benedict Jr."", ""Guest at Jett Rink's Banquet"", 'Angel Obregón II - As an Infant', 'Luz Benedict II - As an Infant', 'Gómez', 'Judy Benedict II - Age 2', 'Wedding Guest', 'Luz Benedict', 'Jordan Benedict IV - as an Infant', 'Petra', 'Luz Benedict II - Age 2'}"
59,Shane,"{'Fred Lewis', 'Mrs. Liz Torrey', 'Ryker Man', 'Homesteader Boy', 'Homesteader', 'Mrs. Shipstead', 'Yank Potts', 'Will Atkey - Bartender', 'Martha Lewis', 'Sam Grafton', 'Morgan Ryker', 'Joey Starrett', 'Rufus Ryker', 'Joe Starrett', 'Jack Wilson', 'Ruth Lewis', ""Axel 'Swede' Shipstead"", 'Marian Starrett', 'Clerk', 'Stonewall Torrey', 'Susan Lewis', 'Ernie Wright', 'Little Boy', 'Lewis Child', 'Mrs. Howells', 'Shane', 'Axel Johnson - Homesteader', 'Chris Calloway', 'Little Girl', 'Ed Howells', 'Knock Him Into That Pigpen, Chris!'}"
60,Grapes of Wrath,"{'Floyd', 'Noah Joad', 'Connie Rivers', 'Boy Who Bragged of Eating Chicken', 'Gang Leader', 'Al Joad', 'Gas Station Attendant #1 in Needles', 'Caretaker', 'Truck Driver', 'Waitress', 'Keene Ranch Guard', 'Uncle John Joad', 'City Man', 'Girl in Migrant Camp', 'Deputy Handcuffing Casy', 'Guard', 'Frank', ""Muley's Wife"", 'Ruthie Joad', 'Bert', 'Deputy', 'Woman in Camp', 'Jule - Bouncer at Dance', 'Winfield Joad', 'Joe', 'Bill', 'Hungry Boy', 'Tom Joad', 'New Mexico Border Guard', 'Square-Dance Caller', 'Grandma Joad', 'Roadblock Leader', 'Needles Policeman', 'Bookseller', 'Clerk', 'Chef', 'Woman Who Gets Shot', 'Gas Station Attendant in Bakersfield', 'Fred', 'Woman', 'Spencer', 'Boy', 'Motorcycle Cop', 'Gas Station Attendant', 'Wilkie', 'Davis', 'Inspection Officer', ""Muley's Son"", 'Arkansas Storekeeper', 'Cop', 'Gas Station Attendant #2 in Needles', 'Hungry Girl', 'Proprietor', 'Fake Hiring Agent', 'Rosasharn Rivers', 'Buck Jackson - Witness at Dance', 'Thomas', 'Camp Helper', 'Ma Joad', 'Tim', 'Pa Joad', 'Mae', 'State Policeman', 'Keene Ranch Foreman', 'Father', 'Muley Bates', 'Migrant', 'Deputy with Shotgun', 'Man in Camp', 'Jim Casy', 'Deputy #1', 'Poor Man Walking with Woman in Transient Camp', 'Grandpa Joad', 'Troublemaker'}"
61,Green Mile,"{'Percy Wetmore', 'Harry Terwilliger', 'Tower Guard', 'Prisoner', 'Arlen Bitterbuck', 'John Coffey', ""John's Servant"", 'Banker Posse Member', 'Police Photographer', 'Klaus Detterick', 'Melinda Moores', 'Eduard Delacroix', 'Police Officer', 'Orderly Hector', 'Marjorie Detterick', 'Jan Edgecomb', 'Kathe Detterick', 'Warden Hal Moores', 'Cynthia Hammersmith', 'Man in Nursing Home', 'Dean Stanton', 'Prison Guard', 'Bill Dodge', ""Actress in 'Top Hat'"", ""Husband at Del's Execution"", 'Lady in Nursing Home', ""Hammersmith's Daughter"", ""actor in 'Top Hat'"", ""'Wild Bill' Wharton"", 'Howie Detterick', 'Mourner', ""Brutus 'Brutal' Howell"", 'Earl the Plumber', 'Cora Detterick', ""Bitterbuck's Daughter"", 'Posse Member', 'Sheriff McGee', 'Paul Edgecomb', 'Reverend at Funeral', 'Elaine Connelly', 'Burt Hammersmith', ""Hammersmith's Son"", 'Jack Van Hay', 'Toot-Toot', 'Old Paul Edgecomb', 'Inmate', ""Wife at Del's Execution"", 'Coffee Execution Witness', ""Woman at Del's Execution"", 'Member of the Posse', 'Prison Minister'}"
62,Close Encounters of the Third Kind,"{'Farmer', 'Helicopter Pilot', 'ARP Musician', 'Brad Neary', 'Highway Patrolman', 'Load Dispatcher', 'Air Traffic Controller', 'Air Traffic', 'Ike', 'Toby Neary', 'Team Leader', 'Implantee', 'Major Benchley', 'ARP Project Member', 'Returnee #1 Flt. 19', 'Mexican Federale', 'Self - Smoking Pipe at Landing Site', 'Federale', 'Project Leader', 'Larry Butler', 'Jean Claude', 'Ronnie Neary', 'Returnee #2 Flt. 19', 'Sunburned Old Man', 'Dirty Tricks #4', 'Truck Dispatcher', 'Longly', 'Robert', 'UFO watcher at Crescendo Summit', 'Jillian Guiler', 'Returnee #3 Flt. 19', 'Wild Bill', 'Agent', 'Scientist', 'Self', 'Special Forces Hazmat Soldier', 'Ohio Tolls', 'Receptionist', 'Dirty Tricks #1', 'Roy Neary', 'Barry Guiler', 'Mrs. Harris', 'Military Police', 'Special Forces', 'Claude Lacombe', 'David Laughlin', 'Dirty Tricks #3', 'Special Forces Commander', 'Extra', 'Hawker', 'Howard K. Smith', 'Support Leader', 'Radio Telescope Team', 'Special Forces Soldier', 'Silvia Neary', 'Air East Pilot', 'UN Observer', 'Dirty Tricks #2', 'Alien', 'Speaking Child'}"
63,Nashville,"{'Det. Olshevsky', 'Abby the Spoon Lady', 'Client #3'}"
64,Network,"{'Herb Thackeray', 'TV Stage Manager', ""Hunter's Secretary"", 'Barbara Schlesinger', 'TV Director', 'Lou', 'Cameraman', 'Joe Donnelly', 'Mary Ann Gifford', 'Window Person', 'Howard Beale', 'Man at Desk', 'Arthur Jensen', 'Milton K. Steinman', 'Willie Stein', ""TV Anchor Reporting Beale's Suicide Threat"", 'Helen Miggs', 'Merrill Grant', 'Caroline Schumacher', 'Frank Hackett', 'TV Associate Director', 'Agent', 'Nelson Chaney', 'Walter C. Amundsen', 'Sam Haywood', 'Self', 'Tommy Pellegrino', 'Robert McDonough', 'Max Schumacher', 'Announcer', 'Louise Schumacher', 'Reporter', 'Jack Snowden', 'George Bosch', 'TV Production Assistant', 'Giannini', 'Narrator', ""Network Lawyer at Khan's Place"", 'Mosaic Figure', 'Edward George Ruddy', 'Bill Herron', 'Harry Hunter', 'Audio Man', 'TV Technical Director', 'Laureen Hobbs', 'Diana Christensen', 'Great Ahmed Kahn', ""Max's Secretary"", 'Arthur Zangwill', 'Associate Producer'}"
65,Graduate,"{'Hotel Guest', 'Boarding House Resident', 'Mr. Singleman', 'Waiter', 'Night Club Stripper', 'Church Member', 'Guest at Welcoming Party', 'Mr. Braddock', 'Room Clerk', 'Girl with Note for Benjamin', 'Party Guest', 'Bellhop in Hotel Lobby', 'Mrs. Carlson - Party Guest', 'The Newlywed Game Host', 'The Minister', 'Man on Bus', 'Birthday Party Guest in Yellow Shirt', 'Carter - Showering Fraternity Brother', 'Mrs. Robinson', 'Mrs. Singleman', 'Elaine Robinson', 'Mr. Loomis - Party Guest', 'Jeffrey Singleton', 'Mrs. Braddock', 'Woman on Bus', 'Mr. Carlson', 'Mr. McCleery', 'Carl Smith', 'Gas Station Attendant', 'Miss DeWitte', 'Valet Parker', 'Ben Braddock', 'Wedding Guest', 'College Student', 'Shaving Fraternity Brother', 'Bus Passenger', 'Mr. McGuire', 'Mr. Robinson'}"
66,American Graffiti,"{'Peg', 'Kip', 'Debbie', 'Steve', 'Terry', 'Bozo', 'Thief', 'Mr. Gordon', 'Curt', 'Ants', 'Holstein', 'Mooner', 'Girl in Dodge', 'Disc Jockey', 'Bob Falfa', 'Boy In Car', ""Falfa's Girl"", 'Sleeping Police Officer', 'Eddie', 'Kid at Accident', 'Student', 'Joe', 'Carol', 'Al', 'Old Woman', 'Man at Accident', 'Car Salesman', 'John', 'Hank', 'Announcer at Dance', 'Vic', 'Budda', 'Mr. Wolfe', 'Balloon Girl', 'Laurie', 'Girl in Studebaker', 'Bum at Liquor Store', 'Carlos', 'Clerk at Liquor Store', 'Carhop', 'Man at Bar', 'Man at Liquor Store', 'Mr. Kroot', 'Girl at Dance', 'Bobbie', 'Jane', 'Herby & the Heartbeats', 'Judy', 'Dale', 'Blonde in T-Bird', 'Old Man', 'Ferber', 'Station Attendant', 'Wendy', 'Badass #1', 'Jeff', 'Girl'}"
67,Pulp Fiction,"{'Buddy Holly', 'Esmarelda Villalobos', 'Captain Koons', 'Sportscaster #1', 'Kathy Griffin', 'Fourth Man', 'Zed', 'Dancing Man', 'Mia Wallace', 'Maynard', 'Waitress', 'The Gimp', 'Marsellus Wallace', 'Diner Patron #2', 'Dean Martin', 'Pedestrian', 'Gawker #1', 'Woman in Bathroom', 'Fabienne', 'James Dean', 'Butch Coolidge', 'Sportscaster #2', 'Raquel', 'Marvin', 'Paul', 'Brett', 'Marilyn Monroe', 'Bar Tender', 'Ed Sullivan', 'Jimmie', 'Phillip Morris Page', 'Hopalong Cassidy', ""Butch's Mother"", 'Mamie Van Doren', 'The Wolf', 'Jules Winnfield', 'Honey Bunny', 'Young Boy', 'Long Hair Yuppie-Scum', 'Coffee Shop', 'Jody', 'Lance', ""'Hold Hands You Love Birds'"", 'Klondike', 'Pumpkin', 'Drug Dealer', 'Dead Floyd Wilson', 'Roger', 'Ricky Nelson', 'Shot Lady', 'Vincent Vega', ""Winston Wolfe's Girlfriend at Party"", 'Young Butch', ""Wilson's Trainer"", 'Dowager at Bar', 'Lucky Lady', 'Trudi', 'Jerry Lewis'}"
68,Terms of Endearment,"{'Moving Man', 'Aurora Greenway', 'Doctor', 'Lizbeth', 'Vernon Dahlart', 'Rudyard', ""Flap's Secretary"", 'Emma Horton', 'Teddy Horton', 'Flap Horton', 'Lee Anne', 'Patsy Clark', 'Mrs. Johnson', 'Meg', 'Janice', 'Woman at Party', 'Doris', 'Checkout Girl', 'Melanie Horton', 'Tommy Horton', 'Phil', 'Dr. Budge', 'Woman', 'Dr. Ratcher', 'Dr. Maise', 'Hospital Patient', 'Sam Burns', 'T.J.', 'Victoria', 'Rosie Dunlop', 'Jack Stern', 'Edward Johnson', 'Jane', 'College Student', 'Young Emma', 'Younger Tommy Horton', 'Baby Melanie', 'Garrett Breedlove', ""Patsy's Mother"", ""Rudyard's Employer"", 'Nurse', 'Elaine McGown'}"
69,Good Will Hunting,"{'Assistant Custodian', 'Chess Game Player', 'Waiter', 'Bystander', 'M.I.T. Student', 'Harvard Square Resident', 'Clark', 'Court Officer', 'Girl on Street', 'M.I.T. Professor', 'Party Guest', 'Sean', 'Hervé', 'Courtroom Guard', 'Head Custodian', 'Billy', 'Student', 'Race Track Patron', 'Barbershop Quartet #4', 'Executive #3', 'Harvard Square Extra', 'Skylar', 'Harvard Student', 'Recuiter', 'Executive #1', 'Cathy', '2nd NSA Agent', 'Executive #2', 'NSA Agent', 'Prosecutor', 'Reception Attendant', 'Lydia', 'Bunker Hill College Student', 'Security Guard', 'Judge Malone', 'Barbershop Quartet #1', 'Will', 'Tom', 'Psychologist', 'Carmine Scarpaglia', 'M.I.T. Alum', 'Barbershop Quartet #2', 'Krystyn', 'Hypnotist', 'Toy Store Cashier', 'Barbershop Quartet #3', 'Reunion Guest', 'Morgan', 'Timmy', 'Chuckie', 'Lambeau', 'Carmine Friend #1'}"
70,African Queen,"{'First Officer of Shona', 'Undetermined Role', 'German Officer', 'German Sergeant Major at Kungdu', 'Charlie Allnutt', 'The Brother', 'Second Officer of Shona', 'Petty Officer', 'Rose Sayer', 'First Officer', 'African Sergeant', 'Captain of Louisa', 'Rev. Samuel Sayer', 'Second Officer'}"
71,Stagecoach,"{'Telegraph Operator', 'Townsman', 'Bit', 'Rancher', ""Boone's Landlady"", 'Hank Plummer', 'Sergeant', 'Chris', 'Bartender', 'Capt. Sickel', 'Girl in Saloon', 'Ellsworth Henry Gatewood', 'Bit Part', 'Barfly', 'Lordsburg Saloon Owner', 'Marshal Curley Wilcox', 'Dallas', 'Mrs. Gatewood', 'Lordsburg Townsman', 'Yakima', 'Indian Chief', ""Lucy's Infant"", 'Cavalry Scout', 'Pony Express Agent', 'Buck', 'Ringo Kid', 'Lordsburg Express Agent', 'Capt. Simmons', 'Samuel Peacock', 'Hatfield', 'Jim - Tonto Express Agent', 'Mrs. Lucy Mallory', 'Ed - Editor', 'Mrs. Nancy Whitney', 'Cavalryman', 'Luke Plummer', 'Mrs. Pickett', 'Small Role', 'Sgt. Billy Pickett', 'Capt. Whitney', 'Lordsburg Bar Patron', 'Lt. Blanchard', 'Tonto Sheriff', 'Deputy Frank', 'Ogler', 'Billy Pickett Jr', 'Ike Plummer', 'Indian Attacking Stagecoach', 'Doc Josiah Boone', 'Indian Scout', 'Lordsburg Sheriff', 'Townswoman', 'Jerry - Tonto Bartender'}"
72,Double Indemnity,"{'Pullman Porter', 'Lola Dietrichson', 'Sam Gorlopis', 'Phyllis Dietrichson', 'Lou Schwartz', 'Shopper in Market', 'Man', 'Mr. Norton', 'Bit Part', 'Pacific All-Risk Telephone Operator', 'Train Conductor', 'Stage Hand', ""Nettie - Dietrichsons' Maid"", 'Pullman Conductor', ""Norton's Secretary"", 'Man in Drug Store', 'Conductor', ""Man Reading Magazine Outside Keyes' Office"", 'Joe Pete', ""Keyes' Secretary"", 'Mr. Jackson', 'Nino Zachetti', 'Redcap', 'Train Passenger at Station', 'Mr. Dietrichson', 'Walter Neff', 'Barton Keyes', 'Charlie - Garage Attendant'}"
73,Wuring Heights,"{'Gypsy Horse Trader', 'Mr. Earnshaw', 'Young Heathcliff', 'Joseph', 'Town Girl', 'Doctor Kenneth', 'Hindley', 'Linton', 'Robert', 'Heathcliff', 'Nelly', 'Cathy', 'Hareton', 'Shepherd Lad', 'Young Cathy', 'Isabella', 'Frances', 'Edgar', 'Saul', 'Young Hindley', 'Catherine', 'Vicar'}"
74,Taxi Driver,"{'Tall Secret Service Man', ""Tom's Assistant"", 'Campaign Worker', 'Charlie T.', 'Andy, Gun Salesman', 'Melio', 'Passenger Watching Silhouette', 'The John', 'Cab Passenger', 'Police Officer', 'Concession Girl', 'Secret Service Photographer', ""Iris' Friend"", 'Movie House Patron', 'Soap Opera Woman', 'Stuntman', 'CIA Agent', 'Clerk at Sam Goody Store', 'Charles Palantine', 'Hooker in Cab', 'Wizard', 'Iris', 'Angry Hooker on Street', 'Travis Bickle', 'T.V. Interviewer', 'Friend of Iris', '2nd Boy on sidewalk', ""Iris' Time Keeper"", 'Palantine Aide', 'Sport', 'Mafioso', ""Iris' Mother"", 'Cabbie in Bellmore', 'Betsy', 'Stick-Up Man', 'Street Drummer', 'Personnel Officer', ""Iris' Father"", 'Political Rally Attendee', 'Tom', 'Girl at Columbus Circle', 'Boy on Sidewalk', 'Dispatcher', 'Doughboy', 'Campaign Aide', 'Soap Opera Man', 'Angry Black Man', 'Policeman at Rally'}"
75,Rear Window,"{'Sunbather', 'Policeman', 'Man with Miss Lonelyhearts', 'Det. Lt. Thomas J. Doyle', ""Girl at Songwriter's Party"", 'Choreographer with Miss Torso', 'Miss Lonelyhearts', ""Songwriter's Clock-Winder"", 'Woman with Bird', 'Minor Role', ""Jeff's Editor"", 'Miss Torso', 'Lisa Carol Fremont', 'Man on Fire Escape', 'Newlywed', 'Dancer with Miss Torso', 'Carl', 'Detective', 'Man with Miss Torso', 'Mrs. Emma Thorwald', 'Radio Announcer', 'Songwriter', 'Stella', 'Lars Thorwald', ""L.B. 'Jeff' Jefferies"", 'Woman on Fire Escape', 'Miss Hearing Aid', ""Newlyweds' Landlord"", ""Songwriter's Party Guest with Poodle"", 'Ice Man'}"
76,Third Man,"{'Casanova Barman', 'International Patrol A', 'Holly Martins', 'Waiter', 'Crabbin', 'Sgt. Paine', 'International Patrol D', 'Taxi Driver', 'Josefstadt Theatre Actress', 'Stripper at club', ""Porter's Wife"", ""Kurtz's Mother"", 'Headwaiter', 'Opening Narrator - UK Version', 'British Military Policeman in Sewer Chase', ""Karl - Harry's Porter"", 'American Military Policeman at Railroad Station', 'Military Policeman', 'Man Chasing Holly', ""Barman at Sacher's"", 'Man in Racetrack Bar', ""Waiter at Smolka's"", 'Actor at Josefstadt Theater', 'Anna Schmidt', 'Minor Role', ""Col. O'Sullivan"", 'Maj. Calloway', 'Little Hansel - Boy with Ball', ""'Baron' Kurtz"", ""Hansel's Father"", 'Harry Lime', 'Guest at Casanova Bar', 'Russian Military Policeman', 'Popescu', 'Col. Brodsky - Russian Liaison Officer', 'British Military Policeman', 'International Patrol C', 'Dr. Winkel', ""Anna's Old Landlady"", 'Man on Street', 'Hartman - Hall Porter at Hotel Sacher', 'Visitor at Literature Club', 'International Patrol B', 'Nurse', 'Actress at Josefstadt Theater', ""Hilde - Winkel's Maid"", 'Soldier'}"
77,Rebel Without a Cause,"{""Mrs. Stark - Jim's Grandmother"", 'Old Lady Teacher', 'Buzz Gunderson', 'Officer', ""Judy's Mother"", 'Monitor Admonishing Plato', 'Ambulance Attendant', 'Frank Stark', 'Approaching Officer', 'Man in Last Shot', 'Police Officer', 'Harry', 'Beau', 'Planetarium Guide', 'Desk Sergeant #2', ""John 'Plato' Crawford"", 'Teacher', 'Police Desk Sergeant', 'Crunch', 'Cookie', 'Ray Fremick', 'Dr. Minton', ""Ed - Moose's Father"", 'Minor Role', 'Hoodlum', 'Helen', 'Mrs. Carol Stark', 'Little Boy', 'Crawford Family Maid', 'Moose', 'Attendant', 'Mil', 'Goon', 'Judy', 'Police Detective', 'Chick', 'Policewoman', 'Officer at Police Station', 'Nurse', 'Desk Sergeant #1', 'Schoolboy in Planetarium', 'Gene', ""Crunch's Father"", 'Police Chief', 'Cliff', 'Jim Stark', ""Judy's Father"", 'Girl'}"
